M
                Rotary Club of Mettupalayam

Current Stock as on 21/10/2016               Time: 10:17:28 PM
--------------------------------------------------------------
Item Code  Item Name                       Item Type  Quantity
--------------------------------------------------------------
1          10 CM RUBY SPARKLERS            Boxes       4997.00
2          10 CM EMERALD SPARKLERS         Boxes       4999.00
3          10 CM BLUE SPARKLERS            Boxes       5000.00
4          10 CM FIVE IN ONE SPARKLERS     Boxes       5000.00
5          15 CM ELECTRIC SPARKLERS        Boxes       5000.00
6          15 CM COLOURED SPARKLERS        Boxes       5000.00
7          15 CM RUBY SPARKLERS            Boxes       5000.00
8          15 CM EMERALD SPARKLERS         Boxes       5000.00
9          15 CM PANCHAVARNAM SPARKLERS    Boxes       5000.00
10         30 CM ELECTRIC SPARKLERS        Boxes       5000.00
11         30 CM COLOURED SPARKLERS        Boxes       5000.00
12         50 CM ELECTRIC SPARKLERS        Boxes       5000.00
13         50 CM COLOURED SPARKLERS        Boxes       5000.00
14         75 CM ELECTRIC SPARKLERS        Boxes       5000.00
15         75 CM COLOURED SPARKLERS        Boxes       5000.00
16         RAJDHANI SPARKLERS              Boxes       5000.00
17         GROUND CHAKKAR BIG GREEN        Boxes       5000.00
18         GROUNG CHAKKAR BIG              Boxes       5000.00
19         GROUNG CHAKKAR SPECIAL          Boxes       5000.00
20         GROUND CHAKKAR DELUX            Boxes       5000.00
21         GIANT WHEEL                     Boxes       5000.00
22         JOKE WHEEL                      Boxes       5000.00
23         CLASSIC WHEEL                   Boxes       5000.00
24         GLITTERING WHEEL                Boxes       5000.00
25         FLOWER POT SMALL                Boxes       5000.00
26         FLOWER POT BIG                  Boxes       5000.00
27         FLOWER POT SPECIAL              Boxes       5000.00
28         FLOWER POT GAINT                Boxes       5000.00
29         FLOWER POT DELUX                Boxes       5000.00
30         KILIMANJARO RED                 Boxes       5000.00
31         FUJIYAMA GREEN                  Boxes       5000.00
32         JADUGHAR                        Boxes       5000.00
33         MANORANJAN                      Boxes       5000.00
34         ROOPKELA                        Boxes       5000.00
35         VARANAJAL                       Boxes       5000.00
36         KIDDYS JOY                      Boxes       5000.00
37         YOLO GREEN                      Boxes       5000.00
38         ROYAL MAJESTIC                  Boxes       5000.00
39         DIL SE                          Boxes       5000.00
40         ELECTRIC DIAMOND                Boxes       5000.00
41         TWINKLING STAR 45 CMS           Boxes       5000.00
