M
                     Sri Annamalaiyar Pattasu Kadai
                       No 5A, RAILWAY STATION ROAD
                          METTUPALAYAM - 641301
                    CELL NO - 98437 44144, 93449 22273

                  Retail Sales Period Wise Report Details
Report for the date from 14/10/2017 to 14/10/2017
--------------------------------------------------------------------------------
Bill No  ICode  Item Name               Item Type  Item Rate  Quantity   Total Amt
--------------------------------------------------------------------------------
1        45     RED BIJILI              BOXES          60.00      1.00       60.00
1        103    ROLL CAP                BOXES          60.00      2.00      120.00
1        118    MINI                    BOXES          35.00      1.00       35.00
1        121    BLACK                   BOXES          70.00      1.00       70.00
1        62     POWER 2 GARLAND 200 WA  BOXES         100.00      1.00      100.00
1        5      12CM RED OR GREEN SPAR  BOXES          60.00      2.00      120.00
1        58     BIG LAXMI               BOXES          35.00      2.00       70.00
1        37     TWINKLING STAR 45CM     BOXES          45.00      2.00       90.00
1        21     FLOWER POT SPECIAL 10   BOXES         140.00      1.00      140.00
1        30     COLOUR CHANGING WHEEL   BOXES         160.00      1.00      160.00
2        103    ROLL CAP                BOXES          60.00      1.00       60.00
2        116    FLAIR                   BOXES          80.00      1.00       80.00
3        103    ROLL CAP                BOXES          60.00      1.00       60.00
3        120    CHALLENGER              BOXES          85.00      2.00      170.00
4        17     FLOWER POT SMALL 10PCS  BOXES          70.00      1.00       70.00
4        108    CHAMPION 7 IN 1         BOXES          50.00      1.00       50.00
4        37     TWINKLING STAR 45CM     BOXES          45.00      1.00       45.00
4        30     COLOUR CHANGING WHEEL   BOXES         160.00      1.00      160.00
4        10     30CM COLOUR SPARKLER 5  BOXES          65.00      4.00      260.00
4        24     GROUND CHAKRA BIG 10PC  BOXES          50.00      1.00       50.00
5        46     24 ROCK FIGHT DELUXE    BOXES          75.00      1.00       75.00
5        21     FLOWER POT SPECIAL 10   BOXES         140.00      1.00      140.00
5        5      12CM RED OR GREEN SPAR  BOXES          60.00      1.00       60.00
5        40     KING OF KING GREEN      BOXES         156.00      1.00      156.00
5        58     BIG LAXMI               BOXES          35.00      4.00      140.00
5        49     56 GAINT                BOXES          70.00      1.00       70.00
6        37     TWINKLING STAR 45CM     BOXES          45.00      1.00       45.00
6        61     POWER 1 GARLAND 100 WA  BOXES          50.00      2.00      100.00
6        104    SNAKE TABLET            BOXES          40.00      1.00       40.00
6        31     COLOUR ROCKET           BOXES          80.00      2.00      160.00
6        107    MAJESTIC 5IN 1          BOXES          85.00      1.00       85.00
6        3      12CM ELECTRIC SPARKLER  BOXES          35.00      5.00      175.00
6        18     FLOWER POT BIG 10PCS    BOXES         105.00      2.00      210.00
6        24     GROUND CHAKRA BIG 10PC  BOXES          50.00      2.00      100.00
6        58     BIG LAXMI               BOXES          35.00      5.00      175.00
6        45     RED BIJILI              BOXES          60.00      4.00      240.00
6        65     POWER 10 GARLAND 1000   BOXES         420.00      2.00      840.00
7        38     HIMALAYAN 120CM         BOXES         160.00      1.00      160.00
7        28     JAMIN CHAKRA ASOKA JUM  BOXES          85.00      2.00      170.00
7        27     GROUND CHAKRA DELUXE    BOXES         150.00      2.00      300.00
7        37     TWINKLING STAR 45CM     BOXES          45.00      1.00       45.00
7        103    ROLL CAP                BOXES          60.00      2.00      120.00
7        25     GROUND CHAKRA BIG 25PC  BOXES          80.00      1.00       80.00
7        46     24 ROCK FIGHT DELUXE    BOXES          75.00      2.00      150.00
7        23     FLOWER POT ASHOK 10PCS  BOXES         200.00      2.00      400.00
7        10     30CM COLOUR SPARKLER 5  BOXES          65.00      6.00      390.00
7        33     TWO SOUND ROCKET        BOXES         180.00      1.00      180.00
7        93     SIGNATURE 25 SHOT       BOXES         300.00      2.00      600.00
7        63     POWER 3 GARLAND 300 WA  BOXES         150.00      2.00      300.00
7        34     THREE SOUND ROCKET      BOXES         240.00      1.00      240.00
7        21     FLOWER POT SPECIAL 10   BOXES         140.00      2.00      280.00
7        79     SIREN MINI              BOXES         180.00      1.00      180.00
8        10     30CM COLOUR SPARKLER 5  BOXES          65.00      1.00       65.00
8        2      10CM ELECTRIC SPARKLER  BOXES          30.00      2.00       60.00
8        23     FLOWER POT ASHOK 10PCS  BOXES         200.00      1.00      200.00
8        27     GROUND CHAKRA DELUXE    BOXES         150.00      1.00      150.00
9        61     POWER 1 GARLAND 100 WA  BOXES          50.00      2.00      100.00
9        45     RED BIJILI              BOXES          60.00      2.00      120.00
